brand,name,style,hop,yeast,malts,ibu,alcohol,blg,user_id
Brewdog,Pilsner,Session IPA,Cascade,W34/70 - Lager,Pilsner,55 IBU,6.5%,15.7°Blg,0ba4a92a-f1a0-4b7e-b7ab-0cc88491b962
Guinness,Lager,Session IPA,Millennium,WLP001 - California Ale,Victory,39 IBU,9.4%,14.9°Blg,a36b56b7-48ae-41a6-ae14-ec7296d50f31
Guinness,Pale Ale,Sour Ale,Mosaic,S04 - English Ale,Pilsner,34 IBU,9.1%,13.1°Blg,13a31c9e-0c41-49af-ad92-60395baf8bb3
Guinness,Pale Ale,Session IPA,Millennium,1056 - American Ale,Caramel,45 IBU,9.5%,15.4°Blg,8accbc2f-a485-4fe6-90b7-3b9907eb3fbb
Heineken,Imperial Stout,Sour Ale,Saaz,W34/70 - Lager,Munich,42 IBU,8.9%,10.8°Blg,55f7c4ac-4553-4ac5-bb4d-1cdd52eddc94
Guinness,Pilsner,Wheat Beer,Cascade,WLP001 - California Ale,Caramel,44 IBU,8.1%,17.4°Blg,7412d0a9-c804-4b8d-be52-5ff6892186dc
Heineken,Pilsner,Strong Ale,Millennium,WLP001 - California Ale,Pilsner,50 IBU,10.0%,10.8°Blg,610d99cb-8aff-48ac-b320-d9b95f8a910d
Budweiser,Imperial Stout,Sour Ale,Cascade,W34/70 - Lager,Pilsner,70 IBU,9.9%,14.5°Blg,91846325-d3c9-4936-bf5d-c43c7c23606f
Guinness,Porter,Belgian Dubbel,Cascade,S04 - English Ale,Pilsner,49 IBU,8.7%,10.9°Blg,e9368666-9ea3-4122-9fd8-6412f262f87e
Budweiser,Imperial Stout,Belgian Dubbel,Saaz,S04 - English Ale,Caramel,70 IBU,6.7%,11.9°Blg,4ded2745-fff5-4962-a745-a6837f111b2d
Guinness,Lager,Strong Ale,Cascade,S04 - English Ale,Pilsner,30 IBU,5.2%,17.6°Blg,909c6730-5d1e-4206-9970-75fce0dcde47
