blend_name,origin,variety,notes,intensifier,user_id,dt_current_timestamp
Melty America,"Mount Elgon, Uganda",Red Bourbon,"astringent, tea-like, green grape, wheat, rubber",soft,6808a3b8-2230-4027-97d3-e2eb67a2d3e2,2024-01-17 00:03:38
American Volcano,"Granada, Nicaragua",Red Bourbon,"mild, coating, cinnamon, dill, dates",deep,a94c130f-fc56-4f58-ac71-c7ef4b0a446a,2024-01-17 00:03:38
The Blend,"Granada, Nicaragua",Pink Bourbon,"mild, coating, cinnamon, dill, dates",pointed,24cf2eea-b334-40f8-bd56-d5da6b6cf291,2024-01-17 00:03:38
Major Solstice,"Granada, Nicaragua",Red Bourbon,"mild, coating, cinnamon, dill, dates",deep,5db08085-3b32-4ad8-b5bf-de23d33db48a,2024-01-17 00:03:38
Major Solstice,"Mattari, Yemen",Red Bourbon,"delicate, coating, sundried tomato, grapefruit, coriander",soft,6aae6fbf-1a35-428f-9d72-ed1f2378fcf5,2024-01-17 00:03:38
Strong Forrester,"Sul Minas, Brazil",S288,"bright, velvety, liquorice, red currant, bakers chocolate",pointed,d4daf90e-92ec-411e-a8fd-cc67847b4c8b,2024-01-17 00:03:38
American Volcano,"Granada, Nicaragua",Red Bourbon,"mild, coating, cinnamon, dill, dates",deep,1de5f09a-10c6-4bc1-a7fd-3f5fd4628e60,2024-01-17 00:03:38
Strong Forrester,"Sul Minas, Brazil",Pink Bourbon,"astringent, tea-like, toast, cacao nibs, barley",deep,83110bd1-8c45-4d58-a7a9-71c74a4bfdec,2024-01-17 00:03:38
Major Solstice,"Sul Minas, Brazil",Red Bourbon,"astringent, tea-like, green grape, wheat, rubber",pointed,51266c9c-c77f-4afd-af22-4d3a14b7fa3f,2024-01-17 00:03:38
Major Solstice,"Mattari, Yemen",Red Bourbon,"astringent, tea-like, toast, cacao nibs, barley",soft,ae22a074-813a-4a50-b3da-cb6f880c82a9,2024-01-17 00:03:38
Melty America,"Sul Minas, Brazil",Red Bourbon,"astringent, tea-like, toast, cacao nibs, barley",deep,052acbd1-43f7-4d59-8213-f91fafc0bf98,2024-01-17 00:03:38
Strong Forrester,"Mount Elgon, Uganda",Java,"astringent, tea-like, toast, cacao nibs, barley",deep,c4c04ad5-18c7-4095-853e-0875496ee797,2024-01-17 00:03:38
Strong Forrester,"Mount Elgon, Uganda",S288,"astringent, tea-like, green grape, wheat, rubber",pointed,9d460064-ec5a-4881-a01b-ea4b2dd36bbf,2024-01-17 00:03:38
Major Solstice,"Sul Minas, Brazil",Liberica,"astringent, tea-like, green grape, wheat, rubber",juicy,ffbc1596-f012-4146-9161-0e26b261e429,2024-01-17 00:03:38
Strong Forrester,"Sul Minas, Brazil",Java,"bright, velvety, liquorice, red currant, bakers chocolate",soft,12012cfa-1418-443c-ba71-a2685df8f16d,2024-01-17 00:03:38
The Blend,"Granada, Nicaragua",Red Bourbon,"astringent, tea-like, toast, cacao nibs, barley",astringent,a4028cf7-f3fb-44f4-b4cb-eb3832b3a2fa,2024-01-17 00:03:38
American Volcano,"Kigeyo Washing Station, Rwanda",Java,"delicate, coating, sundried tomato, grapefruit, coriander",juicy,506020a3-79fd-444a-9c36-f6f9e9c41406,2024-01-17 00:03:38
Strong Forrester,"Granada, Nicaragua",Red Bourbon,"astringent, tea-like, green grape, wheat, rubber",juicy,ba18e60c-ad21-4a5b-9d12-ddbe1301cc4f,2024-01-17 00:03:38
Melty America,"Granada, Nicaragua",Pink Bourbon,"delicate, coating, sundried tomato, grapefruit, coriander",juicy,46d228b2-a4f7-4d2b-954e-a34eda44265f,2024-01-17 00:03:38
Melty America,"Granada, Nicaragua",Java,"delicate, coating, sundried tomato, grapefruit, coriander",juicy,b51214d0-e547-4fee-8d14-9edc6ad2f307,2024-01-17 00:03:38
