id,color,department,material,product_name,price,price_string,promo_code,user_id,dt_current_timestamp
5033,green,Audio,Metal,Bluetooth Headphones,441.13,441.13,DISCOUNT72,057474b4-5433-4b0a-8db2-e9e6ec115d9c,2024-01-17 16:44:51
2185,blue,Fashion,Cotton,Running Shoes,288.03,288.03,DISCOUNT95,e46d9355-3713-4304-9327-05d91829d2c2,2024-01-17 16:44:51
5548,red,Audio,Metal,Coffee Maker,204.77,204.77,DISCOUNT61,972f2190-52d9-410e-8d45-71a0246c8669,2024-01-17 16:44:51
8161,yellow,Kitchen,Metal,Smart TV,182.96,182.96,DISCOUNT69,3cf49b65-05f9-4f4e-95f8-4dd9a3d94485,2024-01-17 16:44:51
1688,green,Fashion,Metal,Bluetooth Headphones,473.64,473.64,DISCOUNT73,1198471c-26ce-44a8-8f05-eb3094f719b8,2024-01-17 16:44:51
5615,blue,Audio,Leather,Leather Wallet,409.62,409.62,DISCOUNT60,bcdbc933-1555-4652-bbea-573877daad0e,2024-01-17 16:44:51
8676,blue,Fashion,Metal,Running Shoes,243.46,243.46,DISCOUNT85,18e0cec4-8fb9-410a-bea3-5a1ed590d3d5,2024-01-17 16:44:51
3509,yellow,Fashion,Rubber,Leather Wallet,227.11,227.11,DISCOUNT77,bf94f3db-0fe9-4433-be56-0f3b0dac4150,2024-01-17 16:44:51
1939,green,Fashion,Metal,Leather Wallet,79.82,79.82,DISCOUNT98,31eb4625-dcd0-496a-b478-c150a654d0a1,2024-01-17 16:44:51
4646,blue,Fashion,Rubber,Running Shoes,395.07,395.07,DISCOUNT57,c7d04d7a-7f50-47b6-86e8-60d6dc98cd93,2024-01-17 16:44:51
2344,green,Audio,Leather,Running Shoes,439.05,439.05,DISCOUNT91,b5cd83ef-e7e6-4ffb-8042-d3932c9a734c,2024-01-17 16:44:51
6046,yellow,Fashion,Metal,Leather Wallet,409.09,409.09,DISCOUNT15,a2280dff-8e78-424b-8565-9cfe3a99e17a,2024-01-17 16:44:51
5429,blue,Audio,Cotton,Bluetooth Headphones,308.5,308.50,DISCOUNT40,8f7d942e-7bed-4fcb-a642-9fb8cee76d0b,2024-01-17 16:44:51
1864,red,Fashion,Cotton,Leather Wallet,208.26,208.26,DISCOUNT70,25d4cb51-6e72-42b3-9f62-9153e345d84d,2024-01-17 16:44:51
6494,green,Electronics,Plastic,Bluetooth Headphones,174.53,174.53,DISCOUNT55,1eb31594-5d59-405f-af3d-4bb0437fd513,2024-01-17 16:44:51
3497,purple,Electronics,Rubber,Smart TV,273.25,273.25,DISCOUNT26,46ab8db9-5d23-4784-80e7-de7315f4f81b,2024-01-17 16:44:51
3989,red,Fashion,Plastic,Coffee Maker,208.72,208.72,DISCOUNT35,cf387bfd-622c-4578-be17-5c47f111d85d,2024-01-17 16:44:51
8374,yellow,Fashion,Rubber,Coffee Maker,305.32,305.32,DISCOUNT72,5a58de8c-1c15-4291-b5e8-63522cfd7523,2024-01-17 16:44:51
4718,yellow,Kitchen,Leather,Running Shoes,87.62,87.62,DISCOUNT38,e66262b8-469a-4885-8fd8-dbe6bdc30089,2024-01-17 16:44:51
4946,purple,Audio,Rubber,Coffee Maker,430.79,430.79,DISCOUNT33,2f5a079d-60ae-455a-8d92-353a4d77c32f,2024-01-17 16:44:51
6970,purple,Footwear,Rubber,Bluetooth Headphones,465.15,465.15,DISCOUNT61,f6d0ef67-5bc0-4f0e-ae3a-0f1a74995912,2024-01-17 16:44:51
9703,red,Audio,Cotton,Coffee Maker,223.84,223.84,DISCOUNT93,0c2718b3-cb8c-4bd6-8f47-631b5ed0b252,2024-01-17 16:44:51
9492,green,Footwear,Plastic,Coffee Maker,381.21,381.21,DISCOUNT56,453438e3-862d-4ace-bfab-6c8f4aac9848,2024-01-17 16:44:51
8437,yellow,Kitchen,Rubber,Coffee Maker,124.75,124.75,DISCOUNT57,4aee740a-b3ab-4fb4-ba91-3e1b6fce86d5,2024-01-17 16:44:51
1942,yellow,Kitchen,Cotton,Coffee Maker,419.41,419.41,DISCOUNT63,2131b4a9-04b9-4991-999c-39fddd3d1009,2024-01-17 16:44:51
3178,purple,Footwear,Plastic,Running Shoes,310.69,310.69,DISCOUNT74,88a673ce-2454-47d1-958d-691d0ad2aa5c,2024-01-17 16:44:51
9873,green,Kitchen,Rubber,Coffee Maker,411.25,411.25,DISCOUNT79,73e5adea-92cc-4d0a-bfba-99d3e37f920a,2024-01-17 16:44:51
9136,purple,Footwear,Cotton,Smart TV,203.64,203.64,DISCOUNT47,568bff29-540c-47b9-bf04-f312c690db9e,2024-01-17 16:44:51
5320,purple,Audio,Cotton,Coffee Maker,144.84,144.84,DISCOUNT82,706f8888-eda7-4d14-b706-6a40babc726b,2024-01-17 16:44:51
7889,blue,Audio,Cotton,Bluetooth Headphones,87.22,87.22,DISCOUNT93,98388fe6-55e9-4ba9-865f-b8c2ca280e26,2024-01-17 16:44:51
3304,red,Footwear,Leather,Leather Wallet,440.73,440.73,DISCOUNT69,0de055a5-c768-496d-8eed-23d488ec24d3,2024-01-17 16:44:51
9276,green,Kitchen,Rubber,Leather Wallet,370.99,370.99,DISCOUNT27,5ed47a74-af32-487a-83b5-e53deb74e228,2024-01-17 16:44:51
2429,green,Audio,Leather,Leather Wallet,109.18,109.18,DISCOUNT38,81ceee71-171e-4183-b14f-a085999b95cf,2024-01-17 16:44:51
5035,purple,Electronics,Plastic,Leather Wallet,161.7,161.70,DISCOUNT82,2961e5d3-bf91-40e6-807d-0bfa497bc25f,2024-01-17 16:44:51
8130,purple,Kitchen,Cotton,Smart TV,447.37,447.37,DISCOUNT19,4086dfd4-02ef-4ba7-94ea-9dc879c99a99,2024-01-17 16:44:51
9443,green,Fashion,Rubber,Smart TV,399.44,399.44,DISCOUNT57,704ec9e4-532c-4982-9cb5-1ee52d53043b,2024-01-17 16:44:51
9783,purple,Electronics,Rubber,Coffee Maker,255.03,255.03,DISCOUNT97,7177d7de-ac7f-49cc-b215-06190d603c7e,2024-01-17 16:44:51
8243,purple,Audio,Leather,Coffee Maker,127.93,127.93,DISCOUNT39,c94bb83b-46f8-411f-b7eb-516121c47e44,2024-01-17 16:44:51
8552,green,Audio,Cotton,Smart TV,489.81,489.81,DISCOUNT68,af7dccd9-1c2c-4c07-987a-5349ae6afd39,2024-01-17 16:44:51
1611,green,Fashion,Cotton,Smart TV,176.72,176.72,DISCOUNT72,6329ec56-4b89-482c-92c4-9309ab0bd1fe,2024-01-17 16:44:51
5451,blue,Audio,Cotton,Running Shoes,210.45,210.45,DISCOUNT18,749247e9-a474-43ad-9025-b26324585d83,2024-01-17 16:44:51
3687,purple,Electronics,Cotton,Smart TV,131.86,131.86,DISCOUNT41,26b9e010-4a76-41a3-af42-580948c44418,2024-01-17 16:44:51
8100,purple,Audio,Cotton,Bluetooth Headphones,82.73,82.73,DISCOUNT77,78705796-0489-4697-b513-0965f3602263,2024-01-17 16:44:51
4702,blue,Fashion,Cotton,Running Shoes,258.13,258.13,DISCOUNT64,d5f2eb11-0713-4768-9d20-de503cbee934,2024-01-17 16:44:51
4068,red,Audio,Rubber,Leather Wallet,176.43,176.43,DISCOUNT81,1fff39de-b264-4133-ae53-a3dc0427cbf5,2024-01-17 16:44:51
7716,red,Fashion,Metal,Bluetooth Headphones,155.08,155.08,DISCOUNT90,a1372524-b62d-4702-b699-bea67cea9ec4,2024-01-17 16:44:51
9196,red,Electronics,Cotton,Smart TV,240.9,240.90,DISCOUNT24,113eb2a1-0b23-414b-8a66-0c044d14c874,2024-01-17 16:44:51
7758,blue,Fashion,Plastic,Bluetooth Headphones,56.4,56.40,DISCOUNT62,bd715ea6-579e-4994-bf9a-9d385f8d2fc1,2024-01-17 16:44:51
7283,purple,Fashion,Leather,Running Shoes,424.99,424.99,DISCOUNT66,886c3c98-f5d1-4075-9a56-7bc26eff3175,2024-01-17 16:44:51
4250,purple,Footwear,Cotton,Smart TV,428.44,428.44,DISCOUNT11,09f33338-6958-49fe-ac2d-873988b65737,2024-01-17 16:44:51
5437,yellow,Footwear,Cotton,Running Shoes,380.59,380.59,DISCOUNT38,6e196d9d-ce4e-4249-a92f-11b470ccb5bd,2024-01-17 16:44:51
2957,red,Fashion,Metal,Coffee Maker,459.73,459.73,DISCOUNT58,8139f451-a0ae-4b44-b761-57b63d1edfb6,2024-01-17 16:44:51
6341,red,Kitchen,Metal,Smart TV,129.63,129.63,DISCOUNT63,d9d7cc0e-602c-4c2b-9a31-6bd88181be44,2024-01-17 16:44:51
3329,yellow,Footwear,Cotton,Bluetooth Headphones,405.93,405.93,DISCOUNT97,2990b7c1-a8b5-4183-839e-0decf8b2f005,2024-01-17 16:44:51
5606,red,Kitchen,Metal,Leather Wallet,67.8,67.80,DISCOUNT61,c21ad10f-9ac9-4293-a1e6-bb399a209537,2024-01-17 16:44:51
2885,green,Audio,Rubber,Bluetooth Headphones,134.89,134.89,DISCOUNT72,1ca68ca4-56d5-4b56-bf78-c89044511b72,2024-01-17 16:44:51
6810,red,Fashion,Cotton,Bluetooth Headphones,464.57,464.57,DISCOUNT32,ae5c5d83-c628-4d28-a7ab-a5e163ae3a67,2024-01-17 16:44:51
6978,red,Electronics,Metal,Bluetooth Headphones,59.95,59.95,DISCOUNT15,6f5a6928-5f8f-4a8c-a147-04721d24135b,2024-01-17 16:44:51
8928,red,Kitchen,Leather,Leather Wallet,144.71,144.71,DISCOUNT54,703326fa-4ad9-459b-99e6-1508ae2b84c2,2024-01-17 16:44:51
1442,yellow,Footwear,Plastic,Running Shoes,113.3,113.30,DISCOUNT20,bfa3979f-e22e-4535-92fc-247ba46ab491,2024-01-17 16:44:51
1187,yellow,Footwear,Metal,Bluetooth Headphones,55.9,55.90,DISCOUNT64,4682679c-ce2d-470b-ace3-a6b88e9cae85,2024-01-17 16:44:51
1417,green,Fashion,Rubber,Coffee Maker,267.6,267.60,DISCOUNT40,7067c51e-70a5-4840-840d-0c0ed4c392b2,2024-01-17 16:44:51
2425,blue,Kitchen,Plastic,Coffee Maker,281.76,281.76,DISCOUNT25,b0d6c280-7505-49ee-904d-d1092f21e766,2024-01-17 16:44:51
6246,blue,Electronics,Plastic,Coffee Maker,440.25,440.25,DISCOUNT87,06bf4d3e-3176-499b-9bfd-f32740eda5bf,2024-01-17 16:44:51
1657,blue,Footwear,Leather,Leather Wallet,142.83,142.83,DISCOUNT53,bde3ae6a-661c-4e4d-bfe5-8cd1c65bbde0,2024-01-17 16:44:51
4900,blue,Footwear,Plastic,Bluetooth Headphones,102.34,102.34,DISCOUNT26,1bceb9cc-7374-4ffd-8a83-c38f0b086462,2024-01-17 16:44:51
7540,red,Fashion,Plastic,Bluetooth Headphones,65.0,65.00,DISCOUNT92,86e1ad83-5406-462a-a218-eb9c0387e389,2024-01-17 16:44:51
2723,purple,Kitchen,Leather,Leather Wallet,139.64,139.64,DISCOUNT70,f900cc36-16a4-4ce0-8bc3-f2521b2de1a5,2024-01-17 16:44:51
2181,yellow,Kitchen,Metal,Coffee Maker,288.43,288.43,DISCOUNT21,d5a98ca5-9a49-42bc-9fc8-41536275e817,2024-01-17 16:44:51
9129,blue,Kitchen,Plastic,Smart TV,446.67,446.67,DISCOUNT37,f60ab51b-b22e-4ee5-b6ea-d252deeb4aff,2024-01-17 16:44:51
3081,green,Fashion,Metal,Running Shoes,71.34,71.34,DISCOUNT83,12368214-1070-4a9b-a0d1-fb75ef0643f5,2024-01-17 16:44:51
5007,red,Footwear,Rubber,Leather Wallet,357.53,357.53,DISCOUNT31,de77568f-9296-4715-ae5b-6eba3a403218,2024-01-17 16:44:51
8874,green,Kitchen,Metal,Bluetooth Headphones,493.45,493.45,DISCOUNT43,28050e9f-bc4c-4fd8-a6cf-b778c2f2a85e,2024-01-17 16:44:51
2146,red,Footwear,Metal,Smart TV,217.44,217.44,DISCOUNT39,dd3ff1e6-19a6-49c2-a6d4-2f77ca7fd338,2024-01-17 16:44:51
8785,green,Kitchen,Plastic,Bluetooth Headphones,390.83,390.83,DISCOUNT67,edc8bb86-1c9f-4a4b-8441-5404e01b8f57,2024-01-17 16:44:51
7007,purple,Fashion,Leather,Smart TV,306.21,306.21,DISCOUNT80,477b42c2-0655-464b-9a5c-8cc89ee2f625,2024-01-17 16:44:51
9158,purple,Kitchen,Plastic,Running Shoes,200.75,200.75,DISCOUNT68,56c5a893-1732-47a4-9c35-a900eaa216f9,2024-01-17 16:44:51
7757,blue,Audio,Metal,Coffee Maker,206.03,206.03,DISCOUNT21,4b391fa1-534e-46d8-b736-79483ddaff5b,2024-01-17 16:44:51
2273,blue,Footwear,Rubber,Leather Wallet,171.59,171.59,DISCOUNT78,cd7bb2eb-2aa3-4389-ba1c-83615ea89a0e,2024-01-17 16:44:51
1670,blue,Fashion,Rubber,Coffee Maker,394.42,394.42,DISCOUNT70,a2680863-d510-41a2-b1ef-4d6d3321f983,2024-01-17 16:44:51
8870,purple,Kitchen,Leather,Leather Wallet,355.57,355.57,DISCOUNT81,5f219ad2-8173-444a-bcbc-3f08fa60501d,2024-01-17 16:44:51
2862,yellow,Electronics,Cotton,Smart TV,58.18,58.18,DISCOUNT60,523a8407-2604-4ad2-94d8-4cb25ea6344b,2024-01-17 16:44:51
5248,blue,Footwear,Plastic,Running Shoes,50.12,50.12,DISCOUNT16,6eb0224a-a94b-43c0-8124-ec84b0d594f6,2024-01-17 16:44:51
3822,blue,Kitchen,Metal,Smart TV,192.44,192.44,DISCOUNT55,f29f2ff3-6838-4ecc-8d0d-417180d24b57,2024-01-17 16:44:51
1670,yellow,Fashion,Metal,Bluetooth Headphones,357.53,357.53,DISCOUNT24,577a9b0a-b27b-4450-8112-d340761192d8,2024-01-17 16:44:51
7956,blue,Footwear,Metal,Coffee Maker,146.93,146.93,DISCOUNT79,408b9a52-345a-4c33-868c-c84b7c3e799c,2024-01-17 16:44:51
4223,yellow,Audio,Leather,Leather Wallet,266.67,266.67,DISCOUNT59,5c188abc-cc87-45c0-b98e-bcfacb81944a,2024-01-17 16:44:51
3809,purple,Kitchen,Cotton,Coffee Maker,488.1,488.10,DISCOUNT11,0337ec9f-f54a-4acd-86e6-7e43f46a1466,2024-01-17 16:44:51
5479,yellow,Electronics,Leather,Leather Wallet,381.88,381.88,DISCOUNT22,53415a3b-618b-40bb-8367-618695f619ed,2024-01-17 16:44:51
5117,purple,Audio,Cotton,Smart TV,275.28,275.28,DISCOUNT64,59c38f5d-a278-4410-b0cc-37d51f73184e,2024-01-17 16:44:51
3596,green,Kitchen,Metal,Coffee Maker,284.93,284.93,DISCOUNT85,978a7ad3-4268-41cc-beba-26e63da85531,2024-01-17 16:44:51
5144,green,Footwear,Metal,Leather Wallet,335.03,335.03,DISCOUNT89,f1f7fd25-5eb1-42aa-99fb-b4bc3e08a662,2024-01-17 16:44:51
