id,uid,business_name,suffix,industry,catch_phrase,buzzword,bs_company_statement,employee_identification_number,duns_number,logo,type,phone_number,full_address,latitude,longitude,user_id,dt_current_timestamp
1788,f9825d7f-3716-4e85-9d3f-f576504932f7,"Welch, Hagenes and Halvorson",Inc,Education,Efficient scalable solution,Big Data,enhance interactive platforms,21-8542588,68-203-8127,https://example.com/fake-logos/5.png,Private,+450 804-5184-7154,"Suite 838 38778 Random Street, SomeCity, SomeCountry",29.78285,99.065371,a9e7f4c0-3d79-446b-b44e-55ae3ee05b9f,2024-01-17 16:52:31
4642,f5a80d30-0065-4a0d-abbe-a369a059cde8,Smith Inc,Inc,Investment Management,Revolutionary dynamic strategy,Blockchain,optimize next-gen technologies,81-4722457,28-301-6635,https://example.com/fake-logos/3.png,Private,+235 673-3233-3503,"Suite 102 67415 Random Street, SomeCity, SomeCountry",-66.719682,-166.392383,1ff091de-d15c-480c-917f-9ed7442ad73e,2024-01-17 16:52:31
2505,dc914056-922d-4d0b-96c1-ba3dbdfc362b,"Armstrong, Little and Cartwright",LLC,Education,Efficient scalable solution,Big Data,optimize next-gen technologies,35-8314466,38-642-3189,https://example.com/fake-logos/4.png,Private,+925 391-3440-3292,"Suite 289 37562 Random Street, SomeCity, SomeCountry",86.127526,-121.467613,094bd1b3-540e-4129-9d58-8c11e31625f6,2024-01-17 16:52:31
4571,58d2293d-9087-4b40-8260-f8705f2aadc3,"Armstrong, Little and Cartwright",Group,Dairy,Proactive global mission,AI,streamline cloud solutions,78-2991986,69-157-8612,https://example.com/fake-logos/2.png,Private,+840 813-6750-7848,"Suite 202 36309 Random Street, SomeCity, SomeCountry",64.331081,66.69058,91701ee9-5b0a-411c-82a6-112f3a0c1145,2024-01-17 16:52:31
6129,03dc0573-3fe8-446c-abb1-f3df82ab4b03,Johnson Corp,PLC,Dairy,Seamless innovative synergy,Blockchain,streamline cloud solutions,69-5569151,32-735-5936,https://example.com/fake-logos/4.png,Private,+830 606-7867-5632,"Suite 427 78814 Random Street, SomeCity, SomeCountry",17.2534,-102.812768,608f4b82-69f5-4c6e-8734-9b5d5b4c7788,2024-01-17 16:52:31
4115,27e5c7dc-e71e-4815-92d2-0e323be2cf62,"Welch, Hagenes and Halvorson",Inc,Healthcare,Revolutionary dynamic strategy,Blockchain,revolutionize integrated markets,25-9999190,13-820-3839,https://example.com/fake-logos/6.png,Private,+476 419-9481-1788,"Suite 901 60598 Random Street, SomeCity, SomeCountry",70.255561,-35.599491,9e410645-96ff-4964-93bf-53a1ea42252f,2024-01-17 16:52:31
3244,692b7e37-4214-41e4-915d-5bf2d47f1fa9,"Welch, Hagenes and Halvorson",PLC,Investment Management,Seamless innovative synergy,VR,optimize next-gen technologies,51-4971887,92-876-7439,https://example.com/fake-logos/6.png,Private,+570 189-2121-8452,"Suite 282 91686 Random Street, SomeCity, SomeCountry",43.551849,-155.28268,15ecf9b6-769f-400e-8174-a1963254a5bd,2024-01-17 16:52:31
6132,672b3dc2-7e60-4337-9444-5aa38a91801b,Doe Associates,LLC,Dairy,Proactive global mission,AI,optimize next-gen technologies,88-6403311,84-960-4720,https://example.com/fake-logos/5.png,Private,+73 145-5004-7767,"Suite 266 29415 Random Street, SomeCity, SomeCountry",77.637491,-26.539199,1028627a-cb0f-4e34-84ed-f950a5f8f4a1,2024-01-17 16:52:31
6744,667aebb0-d453-40b8-9eb0-0add548f54ff,Smith Inc,LLC,Education,Efficient scalable solution,VR,optimize next-gen technologies,38-7550623,53-273-1580,https://example.com/fake-logos/6.png,Private,+520 244-1918-7408,"Suite 416 25016 Random Street, SomeCity, SomeCountry",-61.101405,-3.694362,54e08e9e-cf86-4a36-830f-306d1c030fec,2024-01-17 16:52:31
9184,2643ca92-8885-4525-aaeb-bb2aabc795fd,"Armstrong, Little and Cartwright",Group,Education,Proactive global mission,Synergy,optimize next-gen technologies,15-3218178,88-837-2919,https://example.com/fake-logos/1.png,Private,+124 697-1433-5057,"Suite 836 97976 Random Street, SomeCity, SomeCountry",-5.866859,-47.616007,c8f68cbf-cc2d-459a-8a43-803159dc69d4,2024-01-17 16:52:31
2990,051c5b74-54bf-48aa-93ed-403975b57bf3,Smith Inc,LLC,Education,Seamless innovative synergy,Big Data,optimize next-gen technologies,47-6378270,12-219-4434,https://example.com/fake-logos/8.png,Private,+841 332-2180-8424,"Suite 711 99698 Random Street, SomeCity, SomeCountry",-18.536184,-57.196391,75408989-3d96-453a-8820-4034967afe5f,2024-01-17 16:52:31
6673,9d008bde-f734-43ce-a6d8-fde4bac4f744,Doe Associates,PLC,Healthcare,Seamless innovative synergy,Big Data,enhance interactive platforms,35-6423123,29-350-5959,https://example.com/fake-logos/10.png,Private,+780 409-8985-4167,"Suite 262 61927 Random Street, SomeCity, SomeCountry",49.002467,171.503866,78bced13-a288-402f-bfc1-daa3821a9e06,2024-01-17 16:52:31
7983,4655be3e-0d4e-4db7-9844-95fe2fc662c5,Smith Inc,LLC,Technology,Proactive global mission,Big Data,optimize next-gen technologies,96-8086399,53-297-8324,https://example.com/fake-logos/2.png,Private,+997 538-5353-2726,"Suite 718 31028 Random Street, SomeCity, SomeCountry",45.886667,-157.709346,814a91eb-b265-4ab2-ab45-f483883090db,2024-01-17 16:52:31
8961,d48027ae-8e1c-441a-9f3b-210ee79d504c,"Welch, Hagenes and Halvorson",LLC,Dairy,Revolutionary dynamic strategy,Blockchain,streamline cloud solutions,84-3246607,51-228-4180,https://example.com/fake-logos/9.png,Private,+890 969-8060-2433,"Suite 129 4316 Random Street, SomeCity, SomeCountry",38.586679,24.549501,0cfd47b2-5724-4576-8dfc-af3cc54c8dd3,2024-01-17 16:52:31
3161,e581bbc3-9603-4068-a5a3-e2d32ec8c3c0,"Armstrong, Little and Cartwright",LLC,Healthcare,Efficient scalable solution,Blockchain,enhance interactive platforms,15-5344253,56-350-7617,https://example.com/fake-logos/9.png,Private,+948 248-4419-9817,"Suite 150 57397 Random Street, SomeCity, SomeCountry",65.234081,67.587192,fb24c384-57b4-49cb-8b8f-744712ab3955,2024-01-17 16:52:31
5942,db555ac7-0845-4f64-b7b0-c305ae8b0fde,"Armstrong, Little and Cartwright",PLC,Technology,Seamless innovative synergy,Big Data,enhance interactive platforms,39-4309846,26-734-7024,https://example.com/fake-logos/5.png,Private,+984 395-3212-2840,"Suite 430 73496 Random Street, SomeCity, SomeCountry",3.040896,157.837947,a64d4e8f-8c92-41dd-850b-999d32ab356f,2024-01-17 16:52:31
4789,07c0c3ec-176b-44d6-ba9e-4b7bb27303b3,"Armstrong, Little and Cartwright",Ltd,Dairy,Efficient scalable solution,Blockchain,streamline cloud solutions,43-2033700,15-913-3831,https://example.com/fake-logos/1.png,Private,+661 392-7599-9458,"Suite 111 36754 Random Street, SomeCity, SomeCountry",-84.382523,28.492586,1d3e46b9-6033-4df1-88a0-4d364df83183,2024-01-17 16:52:31
3728,5f74dc50-05f7-4590-9598-824ed06bdbe6,"Armstrong, Little and Cartwright",Ltd,Dairy,Seamless innovative synergy,Synergy,enhance interactive platforms,29-3705399,59-451-4138,https://example.com/fake-logos/10.png,Private,+880 755-3091-5903,"Suite 700 86144 Random Street, SomeCity, SomeCountry",9.914031,-43.547515,478ab6e6-d34f-492c-abd4-122609e4ebe1,2024-01-17 16:52:31
5647,722c9fbc-9275-41e9-900a-06147cabf8aa,Smith Inc,Group,Investment Management,Proactive global mission,Big Data,optimize next-gen technologies,57-3710049,33-669-2990,https://example.com/fake-logos/2.png,Private,+157 654-3045-6819,"Suite 373 20704 Random Street, SomeCity, SomeCountry",87.920251,-21.928889,2f583958-0e38-4a13-83b9-a84ae893fd67,2024-01-17 16:52:31
1589,e3c49eba-6cd9-4ec4-b101-0ab293dde486,Smith Inc,Inc,Healthcare,Revolutionary dynamic strategy,Blockchain,revolutionize integrated markets,60-3106189,83-784-7585,https://example.com/fake-logos/7.png,Private,+498 990-4796-7633,"Suite 255 32592 Random Street, SomeCity, SomeCountry",8.230377,120.154044,2fed7efd-b80e-41e4-bb53-f9b530af95c7,2024-01-17 16:52:31
3655,57726171-0e84-4301-b4ac-06d380f35bc4,Doe Associates,LLC,Technology,Efficient scalable solution,Blockchain,optimize next-gen technologies,92-2494191,77-559-7160,https://example.com/fake-logos/9.png,Private,+859 512-3014-6238,"Suite 762 10329 Random Street, SomeCity, SomeCountry",65.896771,95.664619,0c104669-9c2e-4ec7-9d8c-62729a0d7138,2024-01-17 16:52:31
5957,963b3f2c-f08f-49c4-a33a-c7024280c320,Doe Associates,LLC,Education,Efficient scalable solution,Blockchain,revolutionize integrated markets,23-9848024,87-125-2216,https://example.com/fake-logos/3.png,Private,+891 206-8420-5269,"Suite 253 60239 Random Street, SomeCity, SomeCountry",-69.560133,144.907532,acd835a2-af25-4248-aab3-0d10e5c164bc,2024-01-17 16:52:31
6140,31379ad3-d4d0-4bad-b099-0c5721a2ee34,"Armstrong, Little and Cartwright",PLC,Healthcare,Seamless innovative synergy,Big Data,optimize next-gen technologies,26-4006567,33-345-3510,https://example.com/fake-logos/3.png,Private,+881 987-6904-6195,"Suite 945 72954 Random Street, SomeCity, SomeCountry",-21.997792,115.866051,0665e6b7-4473-4f8e-8efb-ceed13a56bf0,2024-01-17 16:52:31
7670,4bc70d3a-0c51-4677-8866-f6a426934fd7,Doe Associates,LLC,Education,Revolutionary dynamic strategy,AI,streamline cloud solutions,40-9068168,52-625-6776,https://example.com/fake-logos/5.png,Private,+802 677-5790-2064,"Suite 73 949 Random Street, SomeCity, SomeCountry",-88.542268,-120.169912,ee0e1914-ebb5-441d-ada0-208788563e1e,2024-01-17 16:52:31
