id,uid,platform,type,os,stack,user_id,dt_current_timestamp
4218,6b51e626-011f-4087-a5f5-7373d646a927,Linux,workstation,RHEL 7.7,"RHEL, Linux",6808a3b8-2230-4027-97d3-e2eb67a2d3e2,2024-01-17 16:57:33
4094,9fed9c2d-1131-4ce2-92c8-b55db0e42939,Windows,server,High Sierra (10.13),"RHEL, Linux",a94c130f-fc56-4f58-ac71-c7ef4b0a446a,2024-01-17 16:57:33
8521,a48c4853-1104-448b-b5eb-82d6af67de5c,Linux,workstation,Ubuntu Desktop 18.04,"RHEL, Linux",24cf2eea-b334-40f8-bd56-d5da6b6cf291,2024-01-17 16:57:33
2308,27c010ab-2597-4966-b310-0267f9c5fb40,Linux,workstation,Windows 10,"Linux, macOS",5db08085-3b32-4ad8-b5bf-de23d33db48a,2024-01-17 16:57:33
5876,d97ee722-4df8-40ec-ac93-59e68f40cb22,macOS,server,CentOS 8,"Windows, RHEL",6aae6fbf-1a35-428f-9d72-ed1f2378fcf5,2024-01-17 16:57:33
2982,a9025e01-a06d-4d17-8a03-547a25973bbc,Linux,server,RHEL 7.7,"Linux, Ubuntu",d4daf90e-92ec-411e-a8fd-cc67847b4c8b,2024-01-17 16:57:33
6152,f29a51b6-9d05-4617-94d6-62e665f48df8,Windows,server,Windows 10,"Ubuntu, RHEL",1de5f09a-10c6-4bc1-a7fd-3f5fd4628e60,2024-01-17 16:57:33
6552,2485278e-1fa0-499c-84f1-241bb6326e26,Linux,workstation,Windows 10,"RHEL, macOS",83110bd1-8c45-4d58-a7a9-71c74a4bfdec,2024-01-17 16:57:33
2237,de87e4af-c033-4b69-9bda-493769044d96,macOS,server,Ubuntu Desktop 18.04,"macOS, Windows",51266c9c-c77f-4afd-af22-4d3a14b7fa3f,2024-01-17 16:57:33
8347,89d4fa29-6943-4479-9027-7f9cf3102c95,Linux,server,CentOS 8,"Windows, RHEL",ae22a074-813a-4a50-b3da-cb6f880c82a9,2024-01-17 16:57:33
3484,9e65f97d-e888-4f23-8ee3-88358737f89d,Linux,server,RHEL 7.7,"macOS, RHEL",052acbd1-43f7-4d59-8213-f91fafc0bf98,2024-01-17 16:57:33
1913,b7183071-8e96-4808-8b9a-6edfa87acf7f,Windows,workstation,Ubuntu Desktop 18.04,"RHEL, Ubuntu",c4c04ad5-18c7-4095-853e-0875496ee797,2024-01-17 16:57:33
6809,d5c5ce82-e9b9-4148-bdd7-7f82bff82d99,Windows,server,Windows 10,"RHEL, Linux",9d460064-ec5a-4881-a01b-ea4b2dd36bbf,2024-01-17 16:57:33
8779,a16944e7-b1c6-4c9d-8a20-ae96efaf6f3b,Linux,workstation,CentOS 8,"RHEL, Linux",ffbc1596-f012-4146-9161-0e26b261e429,2024-01-17 16:57:33
3458,79269910-eac6-4372-ab2a-7affbdcf5428,Windows,workstation,High Sierra (10.13),"RHEL, macOS",12012cfa-1418-443c-ba71-a2685df8f16d,2024-01-17 16:57:33
2014,89907aa8-f3ec-41e1-ab99-f18cf7a5649c,macOS,workstation,High Sierra (10.13),"macOS, Ubuntu",a4028cf7-f3fb-44f4-b4cb-eb3832b3a2fa,2024-01-17 16:57:33
8609,243c44a6-8f60-4df0-bdde-7211548ba506,macOS,server,CentOS 8,"Windows, Ubuntu",506020a3-79fd-444a-9c36-f6f9e9c41406,2024-01-17 16:57:33
6656,4d4f6a71-8b47-4eb4-bd72-add42e4d7fdb,Windows,workstation,High Sierra (10.13),"Windows, macOS",ba18e60c-ad21-4a5b-9d12-ddbe1301cc4f,2024-01-17 16:57:33
4697,126b5650-6f6e-464d-9139-c64249989127,Windows,server,CentOS 8,"RHEL, Linux",46d228b2-a4f7-4d2b-954e-a34eda44265f,2024-01-17 16:57:33
1428,e5eb3458-59ea-44ad-b985-e8b3fff6fe49,Linux,server,Windows 10,"Linux, macOS",b51214d0-e547-4fee-8d14-9edc6ad2f307,2024-01-17 16:57:33
4988,1831f674-b5b3-4283-8398-ab362db174f3,Linux,server,CentOS 8,"Linux, Ubuntu",d50468f0-b34d-4c9f-8967-b3c955d69f4d,2024-01-17 16:57:33
