brand,name,style,hop,yeast,malts,ibu,alcohol,blg,user_id,dt_current_timestamp
Budweiser,Imperial Stout,Belgian Dubbel,Cascade,1056 - American Ale,Chocolate,64 IBU,6.5%,15.6°Blg,67567bda-0ced-4950-930a-862cca02e269,2026-03-05 09:25:34
Brewdog,Lager,Session IPA,Mosaic,1388 - Belgian Strong Ale,Victory,61 IBU,8.8%,10.9°Blg,f8094865-28b7-4e7b-bc15-cbd17366eb2d,2026-03-05 09:25:34
Heineken,Imperial Stout,Session IPA,Saaz,W34/70 - Lager,Pilsner,45 IBU,4.6%,10.5°Blg,bed3cfa8-5178-4086-a4ab-fca91c1b727e,2026-03-05 09:25:34
Budweiser,Pilsner,Strong Ale,Cascade,WLP001 - California Ale,Victory,64 IBU,9.3%,18.9°Blg,799628ac-0921-485d-9362-287d3b35eb47,2026-03-05 09:25:34
Guinness,Pilsner,Sour Ale,Cascade,WLP001 - California Ale,Chocolate,68 IBU,6.8%,19.6°Blg,1fdc3b79-d10e-46d5-932d-609a24d927cf,2026-03-05 09:25:34
Brewdog,Porter,Belgian Dubbel,Saaz,S04 - English Ale,Caramel,40 IBU,5.0%,18.3°Blg,e01713d3-ad33-42a1-b61e-46707aad0d62,2026-03-05 09:25:34
Budweiser,Pale Ale,Belgian Dubbel,Cascade,1056 - American Ale,Pilsner,50 IBU,8.9%,15.3°Blg,284d66a1-b07f-4f38-9fff-f258a9c4f527,2026-03-05 09:25:34
Heineken,Porter,Strong Ale,Mosaic,WLP001 - California Ale,Victory,21 IBU,5.8%,17.3°Blg,cdf92d6c-98f6-44f6-8551-fa94d6baee6d,2026-03-05 09:25:34
Heineken,Porter,Strong Ale,Galaxy,S04 - English Ale,Pilsner,23 IBU,6.3%,11.1°Blg,413e5b6a-60f1-4d01-ad4c-91569e0693bd,2026-03-05 09:25:34
Brewdog,Lager,Strong Ale,Cascade,S04 - English Ale,Caramel,38 IBU,6.3%,10.2°Blg,2d89eecd-913d-4589-ba5d-168e99122247,2026-03-05 09:25:34
Budweiser,Pilsner,Strong Ale,Saaz,WLP001 - California Ale,Pilsner,41 IBU,5.5%,10.1°Blg,d1f8bb14-0ece-456d-946b-0cd5006f7b4f,2026-03-05 09:25:34
Brewdog,Lager,Wheat Beer,Cascade,S04 - English Ale,Munich,60 IBU,5.0%,12.2°Blg,c021c365-b932-4e46-b624-6b7947ef55ae,2026-03-05 09:25:34
Budweiser,Pilsner,Sour Ale,Galaxy,S04 - English Ale,Chocolate,63 IBU,8.5%,13.8°Blg,722c7548-2625-4cb3-9d75-a46ec79467d9,2026-03-05 09:25:34
Budweiser,Pilsner,Wheat Beer,Galaxy,S04 - English Ale,Pilsner,44 IBU,6.4%,17.8°Blg,c68b6490-9156-46d4-842b-77ccb03535f1,2026-03-05 09:25:34
Heineken,Imperial Stout,Strong Ale,Cascade,W34/70 - Lager,Chocolate,24 IBU,4.7%,15.6°Blg,d3d1a717-572a-4320-aea1-63b9b7e1187c,2026-03-05 09:25:34
Budweiser,Porter,Session IPA,Mosaic,1388 - Belgian Strong Ale,Victory,53 IBU,8.8%,13.0°Blg,fe1acf50-79c2-4abc-a4d6-68c95132e551,2026-03-05 09:25:34
Brewdog,Pilsner,Wheat Beer,Saaz,WLP001 - California Ale,Caramel,22 IBU,8.7%,11.7°Blg,85dcfc8c-9351-49ae-b0ac-8bb96c25829d,2026-03-05 09:25:34
Budweiser,Porter,Session IPA,Cascade,S04 - English Ale,Pilsner,39 IBU,5.4%,18.8°Blg,d73346a9-06d2-4cdd-860e-1794e40b0c41,2026-03-05 09:25:34
Brewdog,Porter,Sour Ale,Cascade,W34/70 - Lager,Victory,60 IBU,6.6%,12.8°Blg,f8c45e7f-912c-4259-b6f0-160ef7cab9ee,2026-03-05 09:25:34
Heineken,Pilsner,Strong Ale,Cascade,1056 - American Ale,Caramel,58 IBU,6.0%,16.2°Blg,73c9886a-2147-4495-9463-3da330191558,2026-03-05 09:25:34
Brewdog,Pilsner,Sour Ale,Galaxy,WLP001 - California Ale,Chocolate,39 IBU,9.2%,17.2°Blg,4e32c830-ece1-424b-b214-cc476906d716,2026-03-05 09:25:34
Guinness,Pilsner,Sour Ale,Mosaic,W34/70 - Lager,Victory,46 IBU,6.5%,14.9°Blg,d8d217cb-3a70-404c-8f01-5e75f7e31500,2026-03-05 09:25:34
Carlsberg,Lager,Sour Ale,Galaxy,1388 - Belgian Strong Ale,Caramel,55 IBU,5.1%,16.4°Blg,0aed72e4-b783-4328-9633-25772106e1b1,2026-03-05 09:25:34
Heineken,Pale Ale,Session IPA,Galaxy,WLP001 - California Ale,Victory,20 IBU,5.4%,14.3°Blg,bb9172f3-072f-49d7-a62b-6715305e1d42,2026-03-05 09:25:34
Heineken,Lager,Wheat Beer,Cascade,W34/70 - Lager,Pilsner,43 IBU,8.0%,11.3°Blg,55be5e72-dee2-4c9e-8c66-e62fba58e650,2026-03-05 09:25:34
Guinness,Pilsner,Sour Ale,Saaz,W34/70 - Lager,Victory,27 IBU,9.6%,17.7°Blg,dc8151b0-717d-4457-9d87-0d35ecf9b571,2026-03-05 09:25:34
Budweiser,Imperial Stout,Belgian Dubbel,Saaz,WLP001 - California Ale,Chocolate,55 IBU,6.2%,16.3°Blg,a5f1508c-c03d-498e-8dcb-296e2ed19bec,2026-03-05 09:25:34
Budweiser,Lager,Belgian Dubbel,Saaz,W34/70 - Lager,Victory,28 IBU,5.9%,18.2°Blg,8be40b09-569c-4886-a2c8-890076adb450,2026-03-05 09:25:34
