id,color,department,material,product_name,price,price_string,promo_code,user_id,dt_current_timestamp
4847,green,Electronics,Leather,Bluetooth Headphones,370.72,370.72,DISCOUNT61,67567bda-0ced-4950-930a-862cca02e269,2026-03-05 09:25:39
1583,purple,Kitchen,Metal,Bluetooth Headphones,171.11,171.11,DISCOUNT37,f8094865-28b7-4e7b-bc15-cbd17366eb2d,2026-03-05 09:25:39
7872,blue,Audio,Plastic,Running Shoes,457.6,457.60,DISCOUNT25,bed3cfa8-5178-4086-a4ab-fca91c1b727e,2026-03-05 09:25:39
2472,green,Audio,Leather,Leather Wallet,351.93,351.93,DISCOUNT80,799628ac-0921-485d-9362-287d3b35eb47,2026-03-05 09:25:39
5838,green,Fashion,Plastic,Bluetooth Headphones,262.89,262.89,DISCOUNT57,1fdc3b79-d10e-46d5-932d-609a24d927cf,2026-03-05 09:25:39
3243,yellow,Electronics,Plastic,Bluetooth Headphones,344.04,344.04,DISCOUNT46,e01713d3-ad33-42a1-b61e-46707aad0d62,2026-03-05 09:25:39
9976,red,Electronics,Cotton,Smart TV,250.48,250.48,DISCOUNT97,284d66a1-b07f-4f38-9fff-f258a9c4f527,2026-03-05 09:25:39
7022,purple,Kitchen,Leather,Running Shoes,284.61,284.61,DISCOUNT25,cdf92d6c-98f6-44f6-8551-fa94d6baee6d,2026-03-05 09:25:39
7107,purple,Electronics,Leather,Leather Wallet,486.98,486.98,DISCOUNT43,413e5b6a-60f1-4d01-ad4c-91569e0693bd,2026-03-05 09:25:39
4881,yellow,Footwear,Rubber,Leather Wallet,76.28,76.28,DISCOUNT38,2d89eecd-913d-4589-ba5d-168e99122247,2026-03-05 09:25:39
8585,blue,Kitchen,Plastic,Smart TV,185.11,185.11,DISCOUNT34,d1f8bb14-0ece-456d-946b-0cd5006f7b4f,2026-03-05 09:25:39
3716,purple,Fashion,Metal,Coffee Maker,427.3,427.30,DISCOUNT78,c021c365-b932-4e46-b624-6b7947ef55ae,2026-03-05 09:25:39
3365,red,Fashion,Rubber,Running Shoes,229.85,229.85,DISCOUNT78,722c7548-2625-4cb3-9d75-a46ec79467d9,2026-03-05 09:25:39
3902,red,Footwear,Rubber,Running Shoes,231.27,231.27,DISCOUNT29,c68b6490-9156-46d4-842b-77ccb03535f1,2026-03-05 09:25:39
9921,green,Electronics,Cotton,Bluetooth Headphones,120.32,120.32,DISCOUNT93,d3d1a717-572a-4320-aea1-63b9b7e1187c,2026-03-05 09:25:39
9718,green,Footwear,Leather,Bluetooth Headphones,468.84,468.84,DISCOUNT18,fe1acf50-79c2-4abc-a4d6-68c95132e551,2026-03-05 09:25:39
