id,uid,business_name,suffix,industry,catch_phrase,buzzword,bs_company_statement,employee_identification_number,duns_number,logo,type,phone_number,full_address,latitude,longitude,user_id,dt_current_timestamp
7019,1db7d54e-e1b1-4133-b0cc-fd974d30adb5,"Armstrong, Little and Cartwright",LLC,Education,Seamless innovative synergy,Synergy,enhance interactive platforms,64-3183439,29-575-1735,https://example.com/fake-logos/3.png,Private,+16 608-8548-9525,"Suite 113 30515 Random Street, SomeCity, SomeCountry",69.462002,-31.822905,35726e25-8e09-45ee-afc7-7a89656bec90,2026-03-05 09:25:41
4784,bf96af77-f793-4da8-a431-e219c0ede289,Doe Associates,Ltd,Technology,Efficient scalable solution,Blockchain,streamline cloud solutions,48-7559555,23-414-1036,https://example.com/fake-logos/4.png,Private,+478 803-4090-1441,"Suite 160 58942 Random Street, SomeCity, SomeCountry",12.613634,-46.721673,3d0c3354-661e-4d8c-9057-9589fdc4fd6d,2026-03-05 09:25:41
5496,e251f435-8819-4d78-9bcb-951215727024,"Welch, Hagenes and Halvorson",Ltd,Technology,Efficient scalable solution,Big Data,revolutionize integrated markets,93-7911802,57-607-9385,https://example.com/fake-logos/10.png,Private,+418 864-5867-7268,"Suite 902 33584 Random Street, SomeCity, SomeCountry",71.851205,-142.141783,4fcf4df2-4995-4a6f-a58d-f9fa6c49cc89,2026-03-05 09:25:41
7587,c15b087b-ac56-4a5c-b582-5f88cad73b98,"Armstrong, Little and Cartwright",Inc,Investment Management,Revolutionary dynamic strategy,Big Data,optimize next-gen technologies,67-9802707,72-197-8931,https://example.com/fake-logos/6.png,Private,+346 817-4587-1402,"Suite 337 1098 Random Street, SomeCity, SomeCountry",-25.975977,143.138008,bc38a57b-ef09-457d-92dc-589c3baa7b73,2026-03-05 09:25:41
8649,dada218b-97e4-4890-ba13-312bd7edcdb5,Doe Associates,PLC,Investment Management,Revolutionary dynamic strategy,Big Data,enhance interactive platforms,47-8276536,13-905-7309,https://example.com/fake-logos/9.png,Private,+573 422-6671-3058,"Suite 771 48569 Random Street, SomeCity, SomeCountry",36.261395,110.647037,179e3047-f32d-4920-bd01-108629d7b2f2,2026-03-05 09:25:41
4824,ed44eb0e-9e5e-4bae-ae92-363d5aebac51,"Armstrong, Little and Cartwright",PLC,Investment Management,Revolutionary dynamic strategy,Big Data,streamline cloud solutions,10-9154594,58-914-1469,https://example.com/fake-logos/1.png,Private,+490 439-2059-4691,"Suite 259 51408 Random Street, SomeCity, SomeCountry",-66.003274,86.221596,8f38b137-b5ba-4874-8601-f38fedfae979,2026-03-05 09:25:41
5410,f7a83d01-ff97-478d-bc73-0ba2be8d52e7,Johnson Corp,Group,Investment Management,Seamless innovative synergy,Blockchain,revolutionize integrated markets,75-1710773,14-601-4845,https://example.com/fake-logos/2.png,Private,+992 763-6662-8316,"Suite 385 13115 Random Street, SomeCity, SomeCountry",-69.734375,-98.876327,92993826-3a02-4c71-a5f0-c582022173f0,2026-03-05 09:25:41
5096,e28de0a1-ef60-4e81-a7e5-1abc6ab8f2dc,"Welch, Hagenes and Halvorson",LLC,Technology,Seamless innovative synergy,Synergy,revolutionize integrated markets,65-7276203,60-495-9051,https://example.com/fake-logos/5.png,Private,+129 508-6000-4091,"Suite 161 92365 Random Street, SomeCity, SomeCountry",52.532454,79.955398,9b6e5d77-df9c-4d56-860e-8b76432dcdbd,2026-03-05 09:25:41
6380,901dc5f6-365e-4d1f-830d-8ead7524e8e0,"Armstrong, Little and Cartwright",Inc,Dairy,Efficient scalable solution,Blockchain,revolutionize integrated markets,60-7014227,58-469-8036,https://example.com/fake-logos/6.png,Private,+490 269-2943-8364,"Suite 470 15401 Random Street, SomeCity, SomeCountry",65.379995,-2.433135,1d8758e4-e2ae-455d-8be4-024a0936ea21,2026-03-05 09:25:41
2139,de699c7a-f683-4be1-bb4a-b59a0e934359,Johnson Corp,Group,Dairy,Proactive global mission,Blockchain,enhance interactive platforms,81-7003410,19-517-3128,https://example.com/fake-logos/6.png,Private,+341 476-4787-1224,"Suite 494 71972 Random Street, SomeCity, SomeCountry",42.268953,25.548468,61bb05aa-22a8-465e-b6f9-ca1cd70ed271,2026-03-05 09:25:41
