id,uid,dish,description,ingredient,measurement,user_id,dt_current_timestamp
5685,604febe9-c82f-4c89-b23a-d5b07aa897ac,Pizza,"Smoked salmon, poached eggs, diced red onions and Hollandaise sauce on an English muffin. With a side of roasted potatoes.",Tomato,1/4 pint,67567bda-0ced-4950-930a-862cca02e269,2026-03-05 09:26:03
9193,d383cee8-be4e-4f82-b6cd-95bd86787bb1,Cheeseburger,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Tomato,1/2 gallon,f8094865-28b7-4e7b-bc15-cbd17366eb2d,2026-03-05 09:26:03
1000,4b8dd9f4-33ec-4d30-a7f8-bf2179d53461,Som Tam,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Feijoa,1/4 pint,bed3cfa8-5178-4086-a4ab-fca91c1b727e,2026-03-05 09:26:03
6263,445b0148-fa45-4cfd-9eb6-521b71f80fe9,Pork Sausage Roll,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Feijoa,1/2 cup,799628ac-0921-485d-9362-287d3b35eb47,2026-03-05 09:26:03
4117,68376176-c7dc-4094-b347-13af78c3e301,Pizza,"Smoked salmon, poached eggs, diced red onions and Hollandaise sauce on an English muffin. With a side of roasted potatoes.",Tomato,1/2 cup,1fdc3b79-d10e-46d5-932d-609a24d927cf,2026-03-05 09:26:03
4929,87d86b14-a4bb-4c9d-8080-19259e6c127f,Pork Sausage Roll,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Tomato,1/2 cup,e01713d3-ad33-42a1-b61e-46707aad0d62,2026-03-05 09:26:03
3488,ba872bb2-af96-4c77-a837-bf7efb7a8edf,Cheeseburger,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Tomato,1/2 gallon,284d66a1-b07f-4f38-9fff-f258a9c4f527,2026-03-05 09:26:03
5285,58672afb-07ef-46f1-a174-d8f519f9fe3a,Pork Sausage Roll,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Tomato,1/4 pint,cdf92d6c-98f6-44f6-8551-fa94d6baee6d,2026-03-05 09:26:03
9122,1025aa8a-01b8-4181-a91c-51d31554093e,Cheeseburger,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Tomato,1/4 pint,413e5b6a-60f1-4d01-ad4c-91569e0693bd,2026-03-05 09:26:03
7397,44525ca2-ee85-4be4-a213-15871ec317e1,Som Tam,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Curry Powder,1/2 gallon,2d89eecd-913d-4589-ba5d-168e99122247,2026-03-05 09:26:03
