id,uid,plan,status,payment_method,subscription_term,payment_term,user_id,dt_current_timestamp
7798,4a3920bd-5a2f-4fa5-8e00-e60103ad9f9f,Standard,Idle,Money Transfer,Weekly,Full Subscription,35726e25-8e09-45ee-afc7-7a89656bec90,2026-03-05 09:26:24
3313,ee9f6713-d5d0-4833-baed-71efa963896d,Standard,Blocked,Bitcoins,Monthly,Full Subscription,3d0c3354-661e-4d8c-9057-9589fdc4fd6d,2026-03-05 09:26:24
9981,f97d68b7-da4f-4b00-b7cd-e68635657919,Bronze,Cancelled,Credit Card,Monthly,Monthly Payment,4fcf4df2-4995-4a6f-a58d-f9fa6c49cc89,2026-03-05 09:26:24
8647,5a679058-0d90-4bf5-97d1-dad295198746,Standard,Active,Money Transfer,Weekly,Payment in Advance,bc38a57b-ef09-457d-92dc-589c3baa7b73,2026-03-05 09:26:24
9256,d874d5bd-d5a8-4d44-98b4-ce42214c6c1e,Platinum,Idle,Alipay,Yearly,Monthly Payment,179e3047-f32d-4920-bd01-108629d7b2f2,2026-03-05 09:26:24
9194,4cc4bb45-4905-4186-8ecb-68883e2b753e,Gold,Idle,Money Transfer,Weekly,Pay per Use,8f38b137-b5ba-4874-8601-f38fedfae979,2026-03-05 09:26:24
3202,f0bf0bb8-322d-400a-a309-0267f218dc37,Basic,Idle,Bitcoins,Lifetime,Payment in Advance,92993826-3a02-4c71-a5f0-c582022173f0,2026-03-05 09:26:24
8945,7c613c05-bf4c-4e91-885b-d9d6d24feed7,Bronze,Blocked,Alipay,Yearly,Full Subscription,9b6e5d77-df9c-4d56-860e-8b76432dcdbd,2026-03-05 09:26:24
1880,d5c7b8ee-8b42-47dd-bb88-8b2f18d231da,Gold,Active,Paypal,Yearly,Monthly Payment,1d8758e4-e2ae-455d-8be4-024a0936ea21,2026-03-05 09:26:24
5791,87c8551d-3e81-42e7-9cbf-a9c6f5fc2d14,Bronze,Idle,Credit Card,Yearly,Pay per Use,61bb05aa-22a8-465e-b6f9-ca1cd70ed271,2026-03-05 09:26:24
6444,78da7cf9-f9e6-4219-9a19-3e386fd00f40,Basic,Cancelled,Alipay,Lifetime,Payment in Advance,5b044e6e-0cad-4135-a32c-18d842b5f459,2026-03-05 09:26:24
4490,f59cec37-108e-4df9-8dc2-45577543f442,Platinum,Active,Money Transfer,Yearly,Payment in Advance,be574c59-0213-4d31-ba68-339c78c0ccd1,2026-03-05 09:26:24
7606,28517355-6d24-499c-abac-381494277102,Standard,Active,Credit Card,Yearly,Pay per Use,8fe7de81-06e3-46d0-97e6-5a0023b69478,2026-03-05 09:26:24
