id,uid,build_number,manufacturer,model,platform,serial_number,version,user_id,dt_current_timestamp
2951,7e203d60-4a51-4288-bf1d-1ace41ecf837,59,Samsung,Galaxy Note 10,Android,z5uEXLIpBqiAdwUS,474,add679de-f3e7-4c40-ba6f-d22df3321d57,2024-01-17 17:09:35
8958,b309a150-e75f-4afb-9b67-18e0ea4019ed,341,Apple,iPhone X,iOS,1yckRT9hhKxJv3Ct,717,1800609c-23cf-4d9f-8bf4-c7c680b35705,2024-01-17 17:09:35
7077,bf479f43-4bd5-4714-83e8-cab7c6f4f903,247,ASUS,ZenBook,Windows,CjSfgR3OJrKF4xUz,151,3f5ac875-17e3-4cdc-aa31-ff75a720e8b6,2024-01-17 17:09:35
2254,e49b5545-db91-4e2f-9066-0a2b06b6407d,211,Apple,iPhone 3GS,iOS,PHHvg0WsKBUTkNMc,193,d630d856-0c09-4751-b40f-7f40badd9877,2024-01-17 17:09:35
6742,4c6f7e62-e63a-4bf0-b929-1bc94bdf763b,320,Apple,iPhone 3GS,iOS,LjKIZgce7eIAWkho,934,c976dd89-42d8-4628-8366-c82833865487,2024-01-17 17:09:35
9260,fbc00479-f48a-4ebe-beb4-4e6caa927f58,466,ASUS,ZenBook,Windows,sX4tTTNDwR5uCTud,602,9ea49d18-9774-4f11-ad9e-0f71bed900c2,2024-01-17 17:09:35
5924,959dc9ad-ed4f-4737-ac62-76d1e16d9dc6,169,HP,ProBook,Windows,Xp5Oo5GLfVnMDXJq,752,5586bb21-a407-4f19-99f2-b605b8927e91,2024-01-17 17:09:35
9189,4467a63e-5c39-49d9-a9fc-90012b57add0,495,HP,ProBook,Windows,JOGhuqhoVFza7a8o,151,5a65e9c8-b7aa-4971-8ad5-ad8232796064,2024-01-17 17:09:35
7648,51f79f36-f326-4e72-9073-6f73c970b876,260,Samsung,Galaxy Note 10,Android,LOLKK3EgAEaPTOHI,703,7b4d9344-ad9c-4ff4-badc-0d223f9e2a4d,2024-01-17 17:09:35
7687,d4159a50-b41c-4146-82cd-6dc3a1660a1d,339,ASUS,VivoBook,Windows,PLnbqjCAyw3N3XrT,998,5798a88a-9121-4536-baa8-1034427911d4,2024-01-17 17:09:35
3222,69d8621c-0d80-4eb6-b922-9f8b232df44e,315,HP,EliteBook,Windows,KdK1ZojlHdu5Su8P,340,46108fd0-2db4-4d6a-a9aa-c3923a9aec88,2024-01-17 17:09:35
5706,7bc1010a-da07-4711-9a05-06755ff2bfae,221,Google,Pixel 5,Android,Zs68hrKszayEwxqK,414,85c567d6-e450-4a9b-97df-44629d623c82,2024-01-17 17:09:35
9388,7b6faa5d-de4c-47e2-80e6-426190772012,425,Samsung,Galaxy S10,Android,2enLurETf34nYC3U,766,e4e7c165-0760-4949-99df-278049d967a6,2024-01-17 17:09:35
5773,ccca769f-4356-46b8-bf4d-c5586488f138,191,ASUS,VivoBook,Windows,jUYSBHSIjAIR6BhB,399,9b843709-219d-4928-9ddf-54bced92dd13,2024-01-17 17:09:35
8423,3276e72e-1a60-44cb-a1f6-ba7aea60bef3,148,Google,Pixel 4,Android,eIKAO18eAgNyaq1e,418,f60af6de-6a1b-4968-a195-bc22d82aaa64,2024-01-17 17:09:35
1858,870dd870-4f62-4d29-9dd7-4e56847c55b5,326,Apple,iPhone 11,iOS,zVM6zb42q2UWjtz6,954,e61a653f-9418-4bba-93fa-90a0e66860df,2024-01-17 17:09:35
