id,uid,dish,description,ingredient,measurement,user_id,dt_current_timestamp
4447,02b79c10-c36f-430a-9204-7d054e1e8f94,Cheeseburger,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Pinto Beans,1/2 gallon,add679de-f3e7-4c40-ba6f-d22df3321d57,2024-01-17 17:14:35
4897,47c39c75-3a73-4618-a8fa-7ceeaee38632,Cheeseburger,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Pinto Beans,1/2 gallon,1800609c-23cf-4d9f-8bf4-c7c680b35705,2024-01-17 17:14:35
4806,065fcf50-246c-445a-94c7-a5a061991354,Som Tam,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Pinto Beans,2 tablespoons,3f5ac875-17e3-4cdc-aa31-ff75a720e8b6,2024-01-17 17:14:35
8292,f6ab6834-098d-4f90-a6ce-fd9f86c7a203,Pork Sausage Roll,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Pinto Beans,1/4 pint,d630d856-0c09-4751-b40f-7f40badd9877,2024-01-17 17:14:35
3673,1bb1ec23-bfd9-4852-bdd1-2cde83cafa92,Som Tam,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Curry Powder,1/2 gallon,c976dd89-42d8-4628-8366-c82833865487,2024-01-17 17:14:35
3106,024bd05d-bbb7-4ff2-8486-8034e047d4c0,Pork Sausage Roll,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Feijoa,1/2 cup,9ea49d18-9774-4f11-ad9e-0f71bed900c2,2024-01-17 17:14:35
9590,9c18f231-a706-425c-bdc8-4b4b1bf98cc5,Som Tam,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Curry Powder,1/2 cup,5586bb21-a407-4f19-99f2-b605b8927e91,2024-01-17 17:14:35
5485,1e9e2062-b376-437c-8167-ba95e84835b7,Som Tam,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Curry Powder,2 tablespoons,5a65e9c8-b7aa-4971-8ad5-ad8232796064,2024-01-17 17:14:35
1600,2bebf8ce-73ee-4245-8e82-83403853fb47,Som Tam,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Feijoa,1/4 pint,7b4d9344-ad9c-4ff4-badc-0d223f9e2a4d,2024-01-17 17:14:35
4053,952ae5ee-d84f-4f58-87d3-1abf9ca9f4eb,Pizza,"Smoked salmon, poached eggs, diced red onions and Hollandaise sauce on an English muffin. With a side of roasted potatoes.",Feijoa,2 tablespoons,5798a88a-9121-4536-baa8-1034427911d4,2024-01-17 17:14:35
9458,31668f23-71b3-4ea8-b697-931bd575f073,Pork Sausage Roll,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Curry Powder,1/4 pint,46108fd0-2db4-4d6a-a9aa-c3923a9aec88,2024-01-17 17:14:35
3184,7258e3d6-0692-4521-8bc9-fe59b32ac5b1,Pizza,"Smoked salmon, poached eggs, diced red onions and Hollandaise sauce on an English muffin. With a side of roasted potatoes.",Pinto Beans,2 tablespoons,85c567d6-e450-4a9b-97df-44629d623c82,2024-01-17 17:14:35
5055,0d0feb6f-4804-46ec-9476-f797a1c2c40d,Som Tam,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Curry Powder,1/2 cup,e4e7c165-0760-4949-99df-278049d967a6,2024-01-17 17:14:35
6520,0b96d00d-aff0-4f56-b26f-64853414ccf7,Pork Sausage Roll,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Feijoa,2 tablespoons,9b843709-219d-4928-9ddf-54bced92dd13,2024-01-17 17:14:35
7515,90d9c288-d10c-41c4-afe3-240a5138516b,Pork Sausage Roll,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Curry Powder,1/4 pint,f60af6de-6a1b-4968-a195-bc22d82aaa64,2024-01-17 17:14:35
1879,6de7e1ce-70e1-40c9-b6d4-d26b9bb9c35b,Pizza,"Smoked salmon, poached eggs, diced red onions and Hollandaise sauce on an English muffin. With a side of roasted potatoes.",Tomato,1/2 gallon,e61a653f-9418-4bba-93fa-90a0e66860df,2024-01-17 17:14:35
6682,aba71dc6-a0b3-4b91-b546-f38acd0cf92f,Som Tam,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Curry Powder,1/2 cup,0b17c183-a696-4243-94a9-6966ec7a7cf1,2024-01-17 17:14:35
5497,3e8faaf3-d3f8-42e8-b37e-f8315bf5255e,Som Tam,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Curry Powder,1/2 gallon,b33913f2-cbe9-4132-8a02-c4f5d4ee643d,2024-01-17 17:14:35
4129,cebab46c-af2d-4c72-9acc-022adaceb001,Pizza,"Smoked salmon, poached eggs, diced red onions and Hollandaise sauce on an English muffin. With a side of roasted potatoes.",Tomato,1/2 gallon,77d3d2ab-58ee-4964-b232-6bdc472bdc6e,2024-01-17 17:14:35
6971,009269a1-3bcb-4f82-a45f-af83a4b30e5d,Som Tam,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Curry Powder,1/4 pint,cc2c1ce6-898b-45e5-a778-07d58e619a67,2024-01-17 17:14:35
