id,uid,plan,status,payment_method,subscription_term,payment_term,user_id,dt_current_timestamp
3178,f652827d-ec1e-4345-a7da-348b639e4cc7,Gold,Blocked,Credit Card,Quinquennal,Full Subscription,6808a3b8-2230-4027-97d3-e2eb67a2d3e2,2024-01-17 20:22:27
2198,1b4ecc47-395d-46a2-98a2-a842f62e79b2,Standard,Idle,Google Pay,Lifetime,Monthly Payment,a94c130f-fc56-4f58-ac71-c7ef4b0a446a,2024-01-17 20:22:27
1165,dd6b5bda-119b-4629-b9d5-d780032f6084,Standard,Active,Google Pay,Yearly,Monthly Payment,24cf2eea-b334-40f8-bd56-d5da6b6cf291,2024-01-17 20:22:27
8532,b787d4b7-256d-4dd3-a5f4-89141f2a5dc1,Platinum,Blocked,Alipay,Yearly,Full Subscription,5db08085-3b32-4ad8-b5bf-de23d33db48a,2024-01-17 20:22:27
2718,2372bd3e-915b-40d9-a7ba-a20703c37c99,Platinum,Blocked,Credit Card,Monthly,Payment in Advance,6aae6fbf-1a35-428f-9d72-ed1f2378fcf5,2024-01-17 20:22:27
2328,77d4d237-ec70-44b0-a186-8f5e3507f520,Platinum,Idle,Credit Card,Monthly,Payment in Advance,d4daf90e-92ec-411e-a8fd-cc67847b4c8b,2024-01-17 20:22:27
7093,8311d390-a2b7-4e0e-aacf-b9284c971353,Standard,Idle,Google Pay,Lifetime,Monthly Payment,1de5f09a-10c6-4bc1-a7fd-3f5fd4628e60,2024-01-17 20:22:27
1736,a032df3e-fd06-4c72-a479-75e2fcebfe13,Basic,Idle,Alipay,Quinquennal,Pay per Use,83110bd1-8c45-4d58-a7a9-71c74a4bfdec,2024-01-17 20:22:27
1248,0d7b8fb9-5ffa-4f8a-bd3b-f6366f8eed83,Platinum,Idle,Bitcoins,Monthly,Pay per Use,51266c9c-c77f-4afd-af22-4d3a14b7fa3f,2024-01-17 20:22:27
9515,f476a294-971a-4b69-aaf9-021bf59c7032,Bronze,Cancelled,Alipay,Yearly,Pay per Use,ae22a074-813a-4a50-b3da-cb6f880c82a9,2024-01-17 20:22:27
4417,b93b6e5a-1439-40bb-8e41-0ffdfde41cb2,Gold,Active,Alipay,Monthly,Payment in Advance,052acbd1-43f7-4d59-8213-f91fafc0bf98,2024-01-17 20:22:27
5662,cabc2c82-e21c-434b-9db6-98b2d564528d,Bronze,Blocked,Google Pay,Weekly,Monthly Payment,c4c04ad5-18c7-4095-853e-0875496ee797,2024-01-17 20:22:27
8680,9fe3d828-59a6-4bad-9c37-b1be42261078,Gold,Blocked,Bitcoins,Quinquennal,Pay per Use,9d460064-ec5a-4881-a01b-ea4b2dd36bbf,2024-01-17 20:22:27
5701,e05a76c5-30ff-468f-9fe2-e5de97799d82,Standard,Cancelled,Money Transfer,Weekly,Payment in Advance,ffbc1596-f012-4146-9161-0e26b261e429,2024-01-17 20:22:27
2848,3ae0b359-4eb4-4716-bb7c-44eec917fd71,Standard,Idle,Paypal,Weekly,Full Subscription,12012cfa-1418-443c-ba71-a2685df8f16d,2024-01-17 20:22:27
8641,1ef3ff45-fff9-4f99-9b4a-732bb183db22,Standard,Cancelled,Money Transfer,Quinquennal,Full Subscription,a4028cf7-f3fb-44f4-b4cb-eb3832b3a2fa,2024-01-17 20:22:27
8145,416f5f8f-72f8-4b3b-911c-8c68d6caa665,Platinum,Cancelled,Credit Card,Yearly,Payment in Advance,506020a3-79fd-444a-9c36-f6f9e9c41406,2024-01-17 20:22:27
2076,590e25e6-d42a-4522-876e-d319ff42eb3e,Basic,Active,Credit Card,Yearly,Pay per Use,ba18e60c-ad21-4a5b-9d12-ddbe1301cc4f,2024-01-17 20:22:27
1717,4ad715f2-92d5-415f-beea-e197abeafd10,Platinum,Cancelled,Alipay,Yearly,Monthly Payment,46d228b2-a4f7-4d2b-954e-a34eda44265f,2024-01-17 20:22:27
2739,5c2c470a-9a96-4dc9-89b5-6b191c5902fd,Standard,Blocked,Alipay,Weekly,Monthly Payment,b51214d0-e547-4fee-8d14-9edc6ad2f307,2024-01-17 20:22:27
7224,cf16e61f-2071-4ed3-99fc-3df47b790e3f,Standard,Cancelled,Paypal,Monthly,Full Subscription,d50468f0-b34d-4c9f-8967-b3c955d69f4d,2024-01-17 20:22:27
5162,f33c2c71-b405-4c5e-be64-3a218b5525a4,Platinum,Cancelled,Alipay,Yearly,Payment in Advance,ca5e9370-6fe5-4814-afea-9bdcc5e0f9c1,2024-01-17 20:22:27
8677,9f4c2443-a457-478b-bbaf-b167102389cb,Bronze,Cancelled,Bitcoins,Monthly,Payment in Advance,45f283fc-589c-41a6-9e7a-493a6ce70ab9,2024-01-17 20:22:27
4588,c333b5ab-0e5e-4702-8aef-345384d85cee,Gold,Active,Paypal,Monthly,Monthly Payment,835d9f2d-70ee-4636-8193-ac1567ccf3d6,2024-01-17 20:22:27
3566,6abdebeb-7ab3-496e-b2c5-d134c7fd4ae0,Gold,Active,Money Transfer,Yearly,Pay per Use,ce60ae86-6ba3-454e-8ee4-769c7b51b8f6,2024-01-17 20:22:27
7511,6287995a-7890-429e-86a8-a83e52fb89bf,Standard,Idle,Credit Card,Lifetime,Monthly Payment,7590b474-617c-4de5-8340-c8d1ba524ead,2024-01-17 20:22:27
